time,lat,lon,elevation,horz_distance_ft,horz_distance_m,vert_speed_mph,horz_speed_mph,vert_speed_km/u,horz_speed_km/u,heading,dive_angle
669.4,56.1815888,9.0443563,747.6017060337551,88136.48920766279,26864.001910495554,-0.42501784000000004,57.157146708359384,-0.684,91.98552312184782,0.62992,-0.4260408546810831
669.6,56.1816332,9.044357,748.402230968135,88152.70940016529,26868.945825170314,-4.89888984,53.037771429132036,-7.884,85.3560303669284,0.03923,-5.2772117597466455
669.8,56.1816743,9.0443567,750.1541994720651,88167.72358192905,26873.52214777191,-7.58321304,48.86025889814674,-12.204,78.63297476250025,359.14468,-8.822038445873032
670.0,56.1817124,9.0443551,752.273622044235,88181.64553975611,26877.765560517597,-9.08196016,45.45992237895025,-14.616,73.16066287288545,357.9972,-11.297783663652378
670.2,56.1817477,9.0443529,754.4324146951451,88194.54861275358,26881.698417167227,-9.14906824,42.112006037675705,-14.724,67.7727130931026,357.66052,-12.257347934812096
670.4,56.181781,9.0443502,756.197506558655,88206.72571867002,26885.409999050553,-8.5003568,39.757760228091904,-13.68,63.98392123025909,357.06336,-12.068350328410798
670.6,56.1818123,9.0443471,757.5065616767602,88218.17721255134,26888.90041438558,-7.00160968,37.289770086233176,-11.268,60.012075584835436,356.54496,-10.634167936670474
670.8,56.1818416,9.0443437,758.57611548253,88228.9030571254,26892.16965181175,-5.10021408,35.37990619316308,-8.208,56.938447186413505,356.1074,-8.203001181752859
671.0,56.1818697,9.0443404,758.9206036715051,88239.19013751662,26895.305153914996,-2.61721512,34.27010044241685,-4.212,55.15238772709664,356.42472,-4.36721400628227
671.2,56.1818974,9.0443367,758.30052493135,88249.33714134361,26898.39796068146,0.82766632,34.01626573818847,1.332,54.7438803155202,355.51088,1.3938164886651134
671.4,56.1819236,9.0443338,757.352362201695,88258.92636632877,26901.32075645694,4.40676392,32.49252529827294,7.092,52.29165746082256,357.3462,7.723553463154098
671.6,56.1819492,9.0443318,755.547900259445,88268.28706139873,26904.173896314263,7.538474320000001,32.38935791913441,12.132000000000001,52.12562563653313,357.94736,13.102071807120957
671.8,56.1819745,9.04433,752.8477690258601,88277.53656477174,26906.993144942357,11.31889616,32.100397925408004,18.215999999999998,51.66058954367439,357.82852,19.42311997851699
672.0,56.1819998,9.0443277,749.48162729359,88286.79066692916,26909.813795279937,13.757156400000001,32.24777365031754,22.14,51.8977678132692,357.27884,23.103480383333064
672.2,56.1820249,9.0443255,745.2887139077801,88295.97078516375,26912.611895317845,17.336254,32.085281580815135,27.900000000000002,51.636262142025735,357.5288,28.38314937551908
672.4,56.1820501,9.0443235,739.727690285755,88305.18549882645,26915.420540042236,20.646919280000002,31.192370108303546,33.228,50.19926023359308,357.42056,33.50145593334204
672.6,56.1820745,9.0443217,733.5958005220001,88314.10649535159,26918.139659783097,23.3759812,30.863767273687827,37.62,49.67042516427657,358.13528,37.1400094540731
672.8,56.1820988,9.0443201,726.532152228065,88322.98940371528,26920.84717025235,26.01556568,30.52427655817597,41.868,49.12406774687943,358.36876,40.44065579679374
673.0,56.1821233,9.0443187,718.566272963005,88331.94393385925,26923.576511040228,28.67751952,30.72310870744294,46.152,49.44405711508715,358.5482,43.02767525890761
673.2,56.1821477,9.0443173,710.022965876425,88340.86195209372,26926.294722998093,30.89208616,30.841409823040998,49.716,49.63444433052514,358.14768,45.04703345453723
673.4,56.1821731,9.0443159,700.298556427645,88350.14509637885,26929.1242253762,33.39745448,32.17025070619367,53.748,51.77300671199231,359.20996,46.07225634681445
673.6,56.1821995,9.0443151,690.1574803122,88359.79054045762,26932.064156731405,35.43306624,33.78069629920752,57.024,54.36476800281594,359.22568,46.36758702782209
673.8,56.1822273,9.0443145,679.1305774251051,88369.94677085259,26935.159775755794,37.51341672,35.32167277434224,60.372,56.84472957099893,359.70512,46.72361693961046
674.0,56.1822566,9.0443144,667.555774275545,88380.65024334774,26938.422194172315,39.526659120000005,37.42474820507696,63.61200000000001,60.22930183888902,0.36218,46.564632680999864
674.2,56.1822873,9.0443148,655.606955377955,88391.86542039472,26941.840580136235,41.09251432,38.902400846361154,66.132,62.607353561702325,0.60125,46.568261179061324
674.4,56.1823193,9.0443156,643.2381889738051,88403.55633485828,26945.40397086473,42.278090399999996,40.56601870585023,68.03999999999999,65.28468733171661,1.28642,46.183916657898486
674.6,56.1823527,9.0443174,630.5052493413101,88415.763050944,26949.124577927658,43.26234224,42.37331923332033,69.624,68.19325597154018,2.07786,45.5947923505133
674.8,56.1823878,9.0443203,617.6148293938551,88428.59888185677,26953.036939189868,44.02290048,44.719478212525864,70.848,71.96903334073622,3.21477,44.55026961066505
675.0,56.1824245,9.0443248,604.78346456451,88442.03690769037,26957.13284946395,44.2913328,46.81509448608111,71.28,75.34160125720717,4.26593,43.41324122240236
675.2,56.1824629,9.0443307,591.5912073467151,88456.11604912773,26961.42417177405,44.515026399999996,48.8788534008213,71.64,78.66289971771954,5.22035,42.32480166927467
675.4,56.1825026,9.0443382,578.47112860661,88470.69895512443,26965.869041521848,44.31370216,50.69335755796205,71.316,81.5830614772454,6.63495,41.15839684946835
675.6,56.1825437,9.0443479,565.3576115462951,88485.84251683144,26970.484799130147,44.13474728,52.444791585336546,71.028,84.40172168860065,8.2933,40.082181432630506
675.8,56.1825862,9.04436,552.477034118525,88501.562501531,26975.276250466573,43.55314392,54.69185921724507,70.092,88.01802697175165,9.56055,38.53160257576048
676.0,56.1826297,9.044375,539.71784776687,88517.74448360028,26980.20851860129,42.92680184,55.675696835768214,69.084,89.60136034681616,12.0551,37.63276512531374
676.2,56.1826734,9.0443939,527.26377952545,88534.16616397467,26985.213846779403,42.255721040000005,56.28879535167171,68.004,90.58804689361617,14.88125,36.8953767905071
676.4,56.1827171,9.0444167,514.9015748010901,88550.7921053642,26990.281433714932,41.74122576,57.11330433895084,67.176,91.91496565848242,17.5852,36.161180660770725
676.6,56.1827601,9.0444438,502.90026246518005,88567.4423054946,26995.356414714675,41.20436112,56.837352449239205,66.31200000000001,91.47086408250443,21.14366,35.94031496739002
676.8,56.1828019,9.0444755,490.72834645473006,88584.02170000579,27000.409814161685,41.360946639999995,56.458430039068354,66.564,90.86104749561278,24.81697,36.22617537403882
677.0,56.1828418,9.0445121,478.520341205435,88600.39400319464,27005.400092173648,41.763595120000005,55.790762409230744,67.212,89.78654046125176,28.97416,36.817624695919534
677.2,56.1828796,9.0445527,465.91207348895,88616.49042761624,27010.30628233735,42.568892080000005,54.427429441611935,68.50800000000001,87.59246844335419,32.93531,38.029746171715004
