time,lat,lon,elevation,horz_distance_ft,horz_distance_m,vert_speed_mph,horz_speed_mph,vert_speed_km/u,horz_speed_km/u,heading,dive_angle
1453.8,56.1825276,9.0395761,739.701443566595,234243.2502274641,71397.34266933125,0.44738720000000004,50.4959899793487,0.7200000000000001,81.26542910733937,353.3012,0.5076190742052011
1454.0,56.182567,9.039569,740.337926506225,234257.7157731777,71401.75176766475,-4.8094124,48.08971755443558,-7.74,77.39290851234371,355.12608,-5.7111129384242245
1454.2,56.1826038,9.0395639,742.0603674511,234271.1991136289,71405.86148983428,-7.33715008,43.834705852461184,-11.808,70.54513006579548,356.07584,-9.50220732067696
1454.4,56.1826372,9.0395604,744.353674537705,234283.4211393962,71409.58676328814,-8.41087936,39.21063597858416,-13.536,63.103409987099745,357.36108,-12.106771725882828
1454.6,56.1826672,9.0395587,746.8667978972751,234294.3857786726,71412.92878533958,-9.37276184,35.21576736552122,-15.084000000000001,56.674291314492855,358.91504,-14.903905824262978
1454.8,56.1826943,9.0395585,749.4914698132751,234304.2856440986,71415.94626432142,-9.260915039999999,32.012812901077616,-14.904,51.51963509187541,0.67005,-16.134509417514106
1455.0,56.1827188,9.0395594,751.94225721484,234313.23750924238,71418.67479281724,-8.03060024,29.09325113255721,-12.924,46.82105526363112,1.72818,-15.4310841790028
1455.2,56.1827413,9.0395607,753.89763779226,234321.46115125166,71421.18135890167,-6.21868208,26.68679648366895,-10.008,42.948241407536116,2.36297,-13.117249472325144
1455.4,56.1827614,9.0395626,755.4527559024899,234328.81399020532,71423.42250421474,-4.09359288,23.983501037505732,-6.588,38.59770853302045,3.62528,-9.686114257112227
1455.6,56.1827802,9.0395647,756.2598425166601,234335.6950491549,71425.51985098257,-1.65533264,22.986669873878306,-2.664,36.993464071373474,4.076,-4.118914793238707
1455.8,56.1827983,9.039567,756.414041991725,234342.3236638167,71427.54025273149,0.51449528,22.437304406386914,0.8280000000000001,36.10934593702855,4.48,1.3135821766514058
1456.0,56.1828161,9.0395695,755.62335957703,234348.8460209428,71429.52826718352,3.73568312,22.002355125180316,6.012,35.4093628296246,4.90385,9.636105856107529
1456.2,56.1828338,9.0395718,754.17322834344,234355.32888716826,71431.50424480904,6.64369992,22.68161551024129,10.692,36.50252659748363,3.58583,16.325900415534985
1456.4,56.1828523,9.0395739,751.6272965849199,234362.10056993907,71433.56825371757,10.02147328,23.53703166296276,16.128000000000004,37.87918563010562,3.72231,23.0630791552569
1456.6,56.1828713,9.039576,748.1594488159051,234369.0545501707,71435.68782689217,13.5334628,24.211058045027787,21.78,38.96392608554739,3.73872,29.204255198135932
1456.8,56.1828907,9.0395783,743.4120734878401,234376.15695339834,71437.85263939596,17.5599476,23.959088335326346,28.259999999999998,38.55842009211477,4.36241,36.23820504260926
1457.0,56.1829096,9.0395808,737.7723097083351,234383.0799907216,71439.96278117209,20.60218056,23.54766969698675,33.156000000000006,37.89630588856914,4.07334,41.18312694666158
1457.2,56.1829284,9.0395831,731.24671915718,234389.96370333908,71442.0609367779,23.95758456,23.67096883616549,38.556000000000004,38.09473664431873,3.66007,45.3447863082629
1457.4,56.1829473,9.0395853,723.6778215194149,234396.88251255368,71444.1697898265,27.335357920000003,23.86501462293887,43.992000000000004,38.40702310775987,3.36416,48.87755716407167
1457.6,56.1829665,9.0395875,715.1574803121,234403.9106868409,71446.31197734924,30.51180704,24.29604969104955,49.104000000000006,39.10070689898074,3.5843,51.47026729520843
1457.8,56.1829865,9.0395897,705.82677165072,234411.23053446185,71448.5430669041,32.8829592,25.72503632120209,52.92,41.400438258549876,3.37544,51.96317417734835
1458.0,56.1830076,9.0395919,695.9875328056149,234418.95150344112,71450.89641824897,34.76198544,27.54924502330073,55.943999999999996,44.33621797131551,2.86926,51.60279925867871
1458.2,56.1830302,9.0395941,685.5446194198299,234427.21956796627,71453.41652431624,36.93181336000001,29.369206314986616,59.43600000000001,47.26516213872539,3.09492,51.507302479326285
1458.4,56.1830543,9.0395967,674.419291335885,234436.0393542581,71456.10479517799,38.96742512,31.06495288552127,62.71200000000001,49.99420206383937,3.60923,51.438038205465396
1458.6,56.1830798,9.0395998,662.80183726769,234445.376032854,71458.95061481402,40.44380288,32.705541986094765,65.088,52.634474634026695,4.27355,51.038697993550535
1458.8,56.1831067,9.0396037,650.770997372725,234455.23482407458,71461.95557437805,41.40568536000001,34.61113276849973,66.63600000000001,55.70122612654051,5.14047,50.10765131536044
1459.0,56.1831352,9.0396087,638.546587923955,234465.69574956482,71465.14406446747,42.255721040000005,36.83781966735672,68.004,59.28473179495712,5.93142,48.91863502259836
1459.2,56.1831655,9.0396145,626.0597112835851,234476.82740421937,71468.53699280618,42.85969376,39.240582268331714,68.976,63.15160387511944,6.18709,47.524055550976776
1459.4,56.1831979,9.0396206,613.59580052248,234488.72837210746,71472.16440781848,42.99390992,41.810099174907464,69.192,67.28684103151225,5.65153,45.79976117838819
1459.6,56.1832323,9.039626,601.1745406800101,234501.34295051004,71476.00933131558,42.54652272,44.231465599351054,68.472,71.18365306725977,4.21539,43.88764434195137
1459.8,56.1832686,9.0396295,588.7795275567,234514.62270248582,71480.05699971781,42.34519848,46.18012292685351,68.148,74.31971345477591,2.12997,42.51949285086272
1460.0,56.1833064,9.0396302,576.40419947276,234528.4319916683,71484.26607106063,42.23335168,47.80803252874917,67.968,76.93958034717892,359.19732,41.45720116630659
1460.2,56.1833453,9.0396268,564.019028869135,234542.65925312543,71488.60254035276,42.412306560000005,49.07233961596281,68.256,78.97428563779478,355.19504,40.836243328514975
1460.4,56.1833845,9.0396178,551.564960627715,234557.0961449202,71493.0029049718,42.636000159999995,49.458857305673824,68.616,79.59632564383861,350.38572,40.76297664945303
1460.6,56.1834233,9.0396026,538.92388451228,234571.6043432127,71497.42500381135,43.597882639999995,49.41551619548306,70.164,79.5265748790931,345.01068,41.421029536723736
1460.8,56.1834608,9.0395813,526.079396323355,234585.9741855095,71501.80493174342,44.15711664,48.55905818308477,71.064,78.14823913563248,339.69756,42.281775026207306
1461.0,56.1834965,9.039554,512.7559055097599,234600.15206626433,71506.1263497975,45.5216476,47.71322088298957,73.26,76.78699577402413,334.239,43.653456773523295
1461.2,56.1835298,9.0395208,499.10761154655995,234614.0707124134,71510.36875314375,47.042764080000005,47.036769815856225,75.70800000000001,75.69835316570632,327.7757,45.00365059245129
1461.4,56.1835602,9.0394823,484.88845144162997,234627.6666430578,71514.51279280416,48.653358,45.26648788459997,78.3,72.84936018936611,321.73502,47.06526437952357
1461.6,56.1835879,9.0394387,470.07545931570496,234641.1311907186,71518.61678693116,50.2192132,45.888936045287025,80.82,73.85109353286518,315.55876,47.57979078776083
1461.8,56.1836118,9.0393892,454.740813646475,234654.47008180097,71522.68248093307,53.21670744,44.789916541141,85.644,72.08239285706323,305.89634,49.91431063483796
1462.0,56.1836295,9.0393372,438.809055116355,234666.88132559307,71526.4654280409,55.9234,40.39599228170363,90.0,65.01105629044956,296.80396,54.157721506908224
1462.2,56.1836418,9.0392867,421.9717847752149,234678.1080260017,71529.88732632545,58.51824576,36.002246210147895,94.176,57.94000648947151,289.81056,58.39887689908132
1462.4,56.1836491,9.0392397,404.668635168985,234688.04769780193,71532.91693829016,59.70382184,32.0471121119979,96.084,51.57483432838151,281.4562,61.77451168311994
