time,lat,lon,elevation,horz_distance_ft,horz_distance_m,x_axis_distance_ft,x_axis_distance_m,y_axis_distance_ft,y_axis_distance_m,vert_speed_mph,horz_speed_mph,vert_speed_km/u,horz_speed_km/u,heading,dive_angle
748.0,56.1819163,9.0440679,741.2073490784,69440.40129711948,21165.434315362003,420.69821304501966,128.2288153365953,-442.27434457466006,-134.80522022675723,0.96188248,44.49023334548906,1.548,71.60009944127174,19.64331,1.2385464813937028
748.2,56.1819483,9.0440902,741.7486876610751,69452.94294778656,21169.25701048533,425.2322845570743,129.61080033349572,-430.58634147420526,-131.24271688144654,-2.75143128,41.11607637068772,-4.428,66.16991944985274,22.1864,-3.828446843628816
748.4,56.1819772,9.0441132,743.218503934035,69464.49351265724,21172.77762265791,429.90963197662495,131.03645582700847,-420.0302397534251,-128.0252170767635,-5.72655616,37.81186821186346,-9.216000000000001,60.85231118043094,24.83665,-8.611923052161844
748.6,56.1820031,9.0441369,745.3904199445251,69475.11582758772,21176.01530424872,434.730232745409,132.5057749413536,-410.5695233605802,-125.14159072097391,-7.538474320000001,35.0005649420319,-12.132000000000001,56.3279565402474,28.34259,-12.154771334296417
748.8,56.1820263,9.044161,747.608267713545,69484.9105188412,21179.000726142785,439.6329207525123,134.0001142459223,-402.09468346089125,-122.55845951940864,-7.80690664,32.36697980957004,-12.564000000000002,52.089611555472366,30.9276,-13.560711022389576
749.0,56.1820472,9.0441851,749.9967191571051,69493.98798016428,21181.76753635406,444.5361409392208,135.49461575882742,-394.45970841497183,-120.23131912574172,-7.85164536,30.12113026902699,-12.636,48.47526660060778,33.64275,-14.610114934003784
749.2,56.1820668,9.0442083,751.95538057442,69502.5674439823,21184.382556925793,449.2563698827289,136.93334154080367,-387.29955634474754,-118.04890477377921,-6.2634208,28.87510085148153,-10.08,46.469976371846805,33.20895,-12.238671306766257
749.4,56.1820855,9.0442307,753.2053805744151,69510.78285487069,21186.886614164574,453.81388023355976,138.32247069571167,-380.46815060451627,-115.96669230423868,-4.29491712,27.93130589006145,-6.912,44.95108541514876,33.93845,-8.74173991837713
749.6,56.1821033,9.0442533,753.526902884125,69518.75046206055,21189.315140836046,458.4123281536158,139.7240776217659,-373.965360686183,-113.98464193753898,-0.76055824,27.390009369936838,-1.2240000000000002,44.079952994530295,35.72991,-1.5905647168032493
749.8,56.1821213,9.0442757,752.568897634785,69526.75450194416,21191.75477219257,462.9699938229751,141.11325411777943,-367.38956351578236,-111.98033895995468,3.04223296,28.062003262886847,4.896000000000001,45.161422475382686,34.09933,6.187334786907265
750.0,56.1821402,9.0442973,750.20997375028,69534.94201314385,21194.250325606234,467.3645197923761,142.45270563330268,-360.4852260351181,-109.87589689530432,6.10683528,28.758333181582465,9.828,46.28205699836601,31.49962,11.988682167556384
750.2,56.1821594,9.0443178,746.7454068211599,69543.10524562493,21196.738478866468,471.5349501988385,143.7238528211601,-353.47148329764605,-107.7381081096828,10.26753624,28.337609077804096,16.524,45.60496709789406,30.18307,19.916918178784226
750.4,56.1821777,9.0443384,742.457349078395,69550.99860190129,21199.1443738595,475.72595324902795,145.00127055088524,-346.78636967390776,-105.70048547722399,14.11506616,27.12285591835788,22.715999999999998,43.6500111340192,32.64397,27.493020680310376
750.6,56.1821961,9.0443597,738.0216535403549,69558.9993680961,21201.583007395682,480.05948739731684,146.32213175925426,-340.06464713439345,-103.65170444734395,16.732281280000002,27.78921022948391,26.928,44.722404586515694,33.2327,31.05274795234852
750.8,56.1822136,9.0443818,731.67322834353,69566.81868462512,21203.966335073725,484.55615290626884,147.69271540641785,-333.67146184667945,-101.70306157134473,21.83249536,27.398667510705028,35.136,44.09388692324595,36.46035,38.54941929310734
751.0,56.182231,9.044404,726.22703411783,69574.6199564271,21206.344162718968,489.07320332247764,149.06951237330213,-327.3147779330611,-99.76554431393743,24.20364752,26.00387828586767,38.952000000000005,41.84919095992179,35.62096,42.946493980773326
751.2,56.182248,9.0444255,719.4881889735,69582.21955057741,21208.660519015983,493.4477853537537,150.4028849764145,-321.10424814000726,-97.87257483322173,26.88797072,26.310970175962897,43.272,42.34340751522012,35.79054,45.62141086137119
751.4,56.1822655,9.044447,711.8569553777301,69589.96911798812,21211.022587162766,497.82224584091455,151.73622053291183,-314.71113726869226,-95.92395463958383,29.21438416,26.92435679320127,47.016000000000005,43.33055771623532,34.7549,47.33593051395111
751.6,56.1822837,9.0444686,703.500656165165,69597.942169367,21213.45277322305,502.2169029857032,153.07571203063708,-308.06240029633045,-93.89741961006075,31.04867168,27.751181349705636,49.968,44.661203029027334,33.80963,48.209779971335415
751.8,56.1823027,9.04449,694.3503936980101,69606.13875248833,21215.95109175843,506.5706365967635,154.40273003530456,-301.1215606741607,-91.78185169398785,32.97243664,28.565252306068388,53.064,45.97132340927331,31.92724,49.09639473711313
752.0,56.1823228,9.0445107,684.54724409175,69614.6063560282,21218.532017317382,510.7815485363826,155.68621599447215,-293.77913634851575,-89.54388075973839,35.1198952,29.61034980002396,56.519999999999996,47.65324501017743,29.87183,49.86503149388785
752.2,56.1823443,9.0445307,674.2585301810301,69623.45450497417,21221.228933116116,514.8495679283515,156.9261483051814,-285.9255796149373,-87.15011666715145,36.59627296,30.94472512387951,58.896,49.800714211746,27.32156,49.78312837328527
752.4,56.1823669,9.0445499,663.47112860627,69632.59023658845,21224.01350411215,518.7543999145273,158.11634109454462,-277.67045157030225,-84.63395363930613,38.43056048,31.84397626306617,61.848,51.24791882603624,24.99691,50.35448858149778
752.6,56.1823906,9.0445683,652.2933070840049,69642.02472236814,21226.889135377798,522.4960444457829,159.25679434771882,-269.0137523524463,-81.99539171718061,39.61613656,32.650699769668805,63.75600000000001,52.54621463055165,23.45878,50.50544532872871
752.8,56.1824155,9.0445857,640.8070866116101,69651.78721227775,21229.86474230225,526.0337471037637,160.33508611784782,-259.9189924746752,-79.22330890595913,40.399064159999995,34.371051206678544,65.01599999999999,55.31485225506798,20.7419,49.60925220936544
753.0,56.182442,9.0446018,629.1305774253051,69662.00843001122,21232.980169467413,529.3063173408154,161.33256552612875,-250.2401478216052,-76.27319705672562,41.517532159999995,35.520775780415306,66.816,57.16515484103931,17.68622,49.45099831849995
753.2,56.1824697,9.0446162,617.38188976131,69672.54411004338,21236.191444741216,532.232388327131,162.22443196276436,-240.1233350597322,-73.18959252629429,42.00965808,36.56668586186898,67.608,58.84838417492871,15.00971,48.96254078546233
753.4,56.1824989,9.0446286,605.57086613931,69683.50611326507,21239.53266332319,534.7507935911417,162.9920418871916,-229.45904610306025,-69.93911725189537,42.0543968,38.210252256691284,67.68,61.493448236377176,12.12421,47.74199274957511
753.6,56.1825297,9.0446395,593.7171915986751,69694.9745843055,21243.02825329631,536.9633368011564,163.66642505762866,-218.21069930493832,-66.51062114816159,41.607009600000005,39.92749670598333,66.96000000000001,64.25708564819914,10.33585,46.180057351942416
753.8,56.182562,9.0446492,582.0078740134201,69706.93830513487,21246.674795405106,538.931138007436,164.26621086528758,-206.41477119922638,-62.91522226203233,41.450424080000005,41.86196675329096,66.70800000000001,67.37031381847646,9.08363,44.716975275277846
754.0,56.1825959,9.0446586,570.64960629693,69719.46937060468,21250.49426416031,540.8374616450164,164.84725831006654,-194.03462723642588,-59.14175438135862,40.44380288,43.27288948394305,65.088,69.64097414597244,8.73897,43.06450714218819
754.2,56.1826308,9.0446693,559.478346454455,69732.4035666622,21254.436607118638,543.008294043364,165.50892802508315,-181.2891520448029,-55.25693354289979,39.4819204,45.03192746095951,63.54,72.47187172965799,10.57647,41.24279272263498
754.4,56.1826667,9.0446835,548.139763777335,69745.8333448541,21258.53000351153,545.8916700775735,166.38778104027733,-168.1780551932752,-51.26067122351378,38.94505576,46.59857699540038,62.676,74.9931500871913,13.92877,39.88740454280315
754.6,56.1827033,9.044702,536.7946194204251,69759.72462994388,21262.764067206896,549.6505804751068,167.53349692944903,-154.81077846512198,-47.18632527627051,38.766100879999996,47.91857870739102,62.388,77.11748719972663,17.41544,38.972837644300654
754.8,56.1827397,9.0447252,525.593832018895,69773.83684041754,21267.065468959267,554.3666965600569,168.9709691121825,-141.51591181010008,-43.134049920365214,39.23585744,48.621547112717565,63.144,78.24880533273335,21.59562,38.90229432050852
755.0,56.1827753,9.0447541,514.0419947486,69788.11249392152,21271.416688147277,560.2438099144492,170.76231326261768,-128.51241777092218,-39.170584936626256,40.242478639999995,48.72016309645001,64.764,78.40751239517806,26.9802,39.55644358447481
755.2,56.1828093,9.0447893,502.1095800504851,69802.45457665261,21275.788154963713,567.4042985260021,172.9448301914381,-116.09234307706356,-35.38494617026299,41.62937896,49.42622848689364,66.996,79.5438146432518,32.52876,40.10585282933665
755.4,56.1828415,9.0448302,489.438976375995,69816.86978276707,21280.1819097874,575.7260163454339,175.4812897827942,-104.32879709079862,-31.799417353235185,43.26234224,49.30452554266918,69.624,79.3479527146101,37.43017,41.26538959707069
