time,lat,lon,hMSL,velN,velE,velD,hAcc,vAcc,sAcc,heading,cAcc,gpsFix,numSV
,(deg),(deg),(m),(m/s),(m/s),(m/s),(m),(m),(m/s),(deg),(deg),,
2023-04-09T13:45:13.00Z,51.0153047,5.5250141,67.176,4.92,0.89,8.36,780.335,1301.782,388.62,0.00000,180.00000,3,4
2023-04-09T13:45:13.20Z,51.0153522,5.5250609,51.870,4.32,-0.09,6.29,537.807,826.902,239.19,0.00000,82.99897,3,4
2023-04-09T13:45:13.40Z,51.0153470,5.5250466,53.152,0.34,0.26,-0.02,79.435,150.593,1.93,0.00000,83.00106,3,7
2023-04-09T13:45:13.60Z,51.0153396,5.5250449,53.420,1.05,-0.16,0.46,55.764,110.527,1.52,0.00000,83.00272,3,6
2023-04-09T13:45:13.80Z,51.0153272,5.5250563,56.054,0.48,0.41,-0.04,40.350,76.451,1.21,0.00000,83.00403,3,7
2023-04-09T13:45:14.00Z,51.0153279,5.5250564,55.929,0.44,1.14,-0.35,30.690,55.780,1.11,0.00000,83.00541,3,7
2023-04-09T13:45:14.20Z,51.0153296,5.5250592,57.383,-0.21,0.89,0.15,23.718,42.259,0.43,86.41210,36.45754,3,7
2023-04-09T13:45:14.40Z,51.0153455,5.5250680,59.538,0.89,0.61,0.21,18.868,32.401,0.39,49.54229,23.31448,3,13
2023-04-09T13:45:14.60Z,51.0153593,5.5250788,62.913,0.96,0.11,0.22,15.539,25.700,0.35,25.63927,20.97968,3,14
2023-04-09T13:45:14.80Z,51.0153832,5.5250947,66.896,0.92,0.25,0.37,13.107,20.909,0.28,19.29300,17.23169,3,15
2023-04-09T13:45:15.00Z,51.0154088,5.5250990,69.063,0.84,-0.15,0.21,11.288,17.532,0.27,3.76302,16.21439,3,15
2023-04-09T13:45:15.20Z,51.0154344,5.5250986,70.761,1.04,-0.06,0.00,9.828,14.918,0.21,359.70740,13.44466,3,15
2023-04-09T13:45:15.40Z,51.0154549,5.5250981,71.834,1.50,0.77,0.73,8.770,13.150,0.18,20.05825,7.96788,3,14
2023-04-09T13:45:15.60Z,51.0154754,5.5250992,72.914,1.19,-0.17,0.07,7.881,11.690,0.27,10.64366,11.27240,3,15
