time,lat,lon,hMSL,velN,velE,velD,hAcc,vAcc,sAcc,heading,cAcc,gpsFix,numSV
,(deg),(deg),(m),(m/s),(m/s),(m/s),(m),(m),(m/s),(deg),(deg),,
2023-04-09T12:26:52.60Z,51.0155737,5.5262357,77.461,-2.95,5.60,2.03,195.409,98.629,6.11,117.80946,5.25971,3,4
2023-04-09T12:26:52.80Z,51.0155965,5.5248945,50.370,-0.49,0.86,0.02,54.320,55.342,1.54,117.80946,5.28622,3,6
2023-04-09T12:26:53.00Z,51.0155191,5.5246637,17.094,-0.17,0.04,0.28,38.838,51.864,0.73,117.80946,5.29869,3,6
2023-04-09T12:26:53.20Z,51.0155258,5.5245776,3.177,0.00,-0.16,-0.23,30.779,44.285,0.64,117.80946,5.30957,3,6
2023-04-09T12:26:53.40Z,51.0155257,5.5245396,-3.193,-0.02,0.02,0.01,26.382,39.278,0.34,117.80946,5.31533,3,6
2023-04-09T12:26:53.60Z,51.0155229,5.5245153,-6.186,-0.05,0.11,-0.03,23.359,35.496,0.42,117.80946,5.32237,3,7
2023-04-09T12:26:53.80Z,51.0155217,5.5245004,-6.748,-0.10,0.01,0.02,21.218,32.702,0.25,117.80946,5.32666,3,7
2023-04-09T12:26:54.00Z,51.0155265,5.5244886,-6.725,-0.05,-0.16,-0.05,19.722,30.715,0.31,117.80946,5.33186,3,7
2023-04-09T12:26:54.20Z,51.0155346,5.5244884,-6.054,-0.12,-0.20,0.14,18.369,28.701,0.37,117.80946,5.33817,3,8
2023-04-09T12:26:54.40Z,51.0155334,5.5244969,-2.431,-0.09,-0.09,0.22,17.047,26.775,0.48,117.80946,5.34634,3,8
2023-04-09T12:26:54.60Z,51.0155424,5.5245120,-0.233,-0.09,0.07,0.25,16.308,25.547,0.84,117.80946,5.36038,3,8
2023-04-09T12:26:54.80Z,51.0155455,5.5245267,3.892,-0.09,-0.04,0.12,16.041,25.189,0.64,117.80946,5.37106,3,9
2023-04-09T12:26:55.00Z,51.0155503,5.5245412,7.865,0.00,0.08,0.12,15.459,24.513,0.73,117.80946,5.38321,3,9
