time,lat,lon,hMSL,velN,velE,velD,hAcc,vAcc,sAcc,heading,cAcc,gpsFix,numSV
,(deg),(deg),(m),(m/s),(m/s),(m/s),(m),(m),(m/s),(deg),(deg),,
2023-04-09T08:55:23.00Z,51.0157849,5.5242729,-25.505,0.68,-1.42,1.87,257.588,418.121,27.31,0.00000,180.00000,3,4
2023-04-09T08:55:24.00Z,51.0157675,5.5248559,46.801,0.13,-0.19,0.37,66.692,108.754,6.25,0.00000,180.00000,3,5
2023-04-09T08:55:24.20Z,51.0156826,5.5248810,63.736,0.12,-0.37,-0.08,54.156,79.539,1.47,0.00000,180.00000,3,5
2023-04-09T08:55:24.40Z,51.0156383,5.5248865,68.473,0.03,-0.12,0.19,34.396,50.715,1.82,0.00000,180.00000,3,6
2023-04-09T08:55:24.60Z,51.0156059,5.5249007,71.516,-0.26,0.10,0.17,26.060,38.386,0.45,0.00000,110.20492,3,6
2023-04-09T08:55:24.80Z,51.0155910,5.5249117,73.278,0.14,-0.26,0.30,21.846,31.210,0.98,0.00000,110.20572,3,8
2023-04-09T08:55:25.00Z,51.0155779,5.5249142,74.720,-0.10,0.01,-0.27,18.105,25.117,0.74,0.00000,110.20632,3,10
2023-04-09T08:55:25.20Z,51.0155753,5.5249058,74.286,0.09,-0.08,0.16,15.995,21.204,0.71,0.00000,110.20690,3,11
2023-04-09T08:55:25.40Z,51.0155705,5.5249001,74.147,0.05,0.03,0.16,14.270,18.193,0.52,0.00000,110.20732,3,11
2023-04-09T08:55:25.60Z,51.0155696,5.5248938,73.555,-0.03,0.04,0.02,12.576,15.596,0.22,0.00000,110.20752,3,13
2023-04-09T08:55:25.80Z,51.0155672,5.5248946,73.563,0.06,0.17,0.21,11.270,14.240,0.27,0.00000,110.20774,3,13
2023-04-09T08:55:26.00Z,51.0155641,5.5248999,74.253,0.05,0.25,0.45,10.121,12.792,0.28,0.00000,110.20816,3,13
2023-04-09T08:55:26.20Z,51.0155579,5.5248950,74.039,0.21,-0.01,0.41,9.125,11.560,0.36,0.00000,110.20854,3,13
2023-04-09T08:55:26.40Z,51.0155509,5.5248895,74.131,-0.01,-0.08,0.19,8.186,10.374,0.35,0.00000,110.20882,3,15
2023-04-09T08:55:26.60Z,51.0155382,5.5248797,73.298,0.13,-0.29,0.24,7.531,9.479,0.34,0.00000,110.20914,3,15
