$FLYS,1
$VAR,FIRMWARE_VER,v2023.09.22
$VAR,DEVICE_ID,003b0020484e501420353131
$VAR,SESSION_ID,184509fe13058442f5561751
$COL,BARO,time,pressure,temperature
$UNIT,BARO,s,Pa,deg C
$COL,HUM,time,humidity,temperature
$UNIT,HUM,s,percent,deg C
$COL,MAG,time,x,y,z,temperature
$UNIT,MAG,s,gauss,gauss,gauss,deg C
$COL,IMU,time,wx,wy,wz,ax,ay,az,temperature
$UNIT,IMU,s,deg/s,deg/s,deg/s,g,g,g,deg C
$COL,TIME,time,tow,week
$UNIT,TIME,s,s,
$COL,VBAT,time,voltage
$UNIT,VBAT,s,volt
$DATA
$IMU,20495.915,-25.024,-3.967,-10.070,-0.07177,-0.76660,0.47363,28.63
$IMU,20495.992,-89.477,-29.479,-24.353,0.08496,-0.80322,0.30859,28.70
$IMU,20496.068,-78.186,-27.587,19.165,0.01660,-1.04931,0.30468,28.69
$BARO,20496.115,100922.61,28.29
$MAG,20496.121,-0.562,0.060,0.195,26.7
$IMU,20496.144,-50.964,-35.583,54.931,-0.06103,-1.35253,0.42187,28.69
$BARO,20496.155,100922.90,28.28
$HUM,20496.159,40.7,29.1
$BARO,20496.196,100918.78,28.29
$MAG,20496.218,-0.525,0.079,0.235,26.8
$IMU,20496.221,-29.113,-60.668,55.053,-0.14550,-1.40429,0.41455,28.72
$BARO,20496.236,100916.42,28.29
$HUM,20496.240,40.6,29.1
$BARO,20496.276,100928.58,28.30
$IMU,20496.297,-1.098,-90.576,19.165,-0.02539,-1.28808,0.35400,28.74
$MAG,20496.314,-0.519,0.061,0.249,26.8
$BARO,20496.316,100923.59,28.30
$HUM,20496.320,40.7,29.1
$BARO,20496.356,100926.97,28.30
$IMU,20496.374,35.156,-100.891,-11.413,0.29443,-1.25781,0.30371,28.76
$BARO,20496.397,100919.22,28.31
$HUM,20496.400,40.7,29.1
$MAG,20496.411,-0.537,0.064,0.199,27.1
$BARO,20496.437,100917.76,28.30
$IMU,20496.450,82.824,-57.861,-15.747,0.49267,-1.12890,0.23681,28.73
$BARO,20496.477,100916.42,28.31
$HUM,20496.481,40.9,29.1
$MAG,20496.508,-0.523,0.046,0.091,26.8
$BARO,20496.517,100921.78,28.31
$IMU,20496.527,125.854,25.634,1.831,0.18505,-0.84130,0.48486,28.73
$BARO,20496.557,100917.88,28.32
$HUM,20496.561,41.0,29.1
$BARO,20496.597,100918.61,28.31
$IMU,20496.603,120.117,98.571,44.494,0.20263,-0.58496,0.52392,28.77
$MAG,20496.604,-0.424,0.007,-0.022,27.1
$BARO,20496.638,100914.47,28.32
$HUM,20496.641,41.0,29.1
$BARO,20496.678,100916.69,28.31
$IMU,20496.680,61.889,129.821,82.519,-0.25683,-0.47167,0.74511,28.78
$MAG,20496.701,-0.288,-0.019,-0.052,27.0
$BARO,20496.718,100918.42,28.31
$HUM,20496.722,41.1,29.1
$IMU,20496.756,30.151,123.291,99.914,-0.58984,-0.42724,0.45361,28.80
$BARO,20496.758,100919.76,28.32
$MAG,20496.797,-0.175,-0.066,-0.052,27.1
$BARO,20496.798,100910.03,28.32
$HUM,20496.802,40.9,29.1
$IMU,20496.833,33.203,92.773,93.627,-0.66162,-0.09960,0.50048,28.78
$BARO,20496.838,100916.13,28.32
$VBAT,20496.847,3.979
$BARO,20496.879,100913.06,28.32
$HUM,20496.882,40.9,29.1
$MAG,20496.894,-0.090,-0.114,-0.027,27.1
$IMU,20496.909,9.704,64.086,87.219,-0.75634,-0.24169,0.25341,28.82
$BARO,20496.919,100900.02,28.32
$BARO,20496.959,100925.58,28.32
$HUM,20496.962,40.8,29.1
$IMU,20496.985,7.263,37.780,58.471,-0.87451,-0.19335,0.15087,28.82
$MAG,20496.991,-0.055,-0.147,-0.016,27.1
$BARO,20496.999,100915.37,28.32
$BARO,20497.039,100909.81,28.33
$HUM,20497.043,40.9,29.1
$IMU,20497.062,9.338,12.939,17.883,-0.80908,-0.02978,0.34375,28.81
$BARO,20497.079,100921.29,28.33
$MAG,20497.087,-0.046,-0.141,-0.012,27.0
$BARO,20497.120,100913.23,28.33
$HUM,20497.123,40.9,29.2
$IMU,20497.138,-17.333,1.403,9.826,-0.83154,-0.20361,0.36621,28.80
$BARO,20497.160,100911.42,28.33
$MAG,20497.184,-0.036,-0.141,-0.007,27.1
$BARO,20497.200,100918.27,28.33
$HUM,20497.203,40.8,29.2
$IMU,20497.215,-6.896,9.277,-2.258,-0.88769,-0.10253,0.50927,28.85
$BARO,20497.240,100922.15,28.34
$MAG,20497.280,-0.028,-0.144,0.012,26.8
$BARO,20497.281,100913.64,28.33
$HUM,20497.284,40.7,29.2
$IMU,20497.291,-8.544,11.413,7.507,-0.83544,-0.10644,0.53515,28.81
$BARO,20497.321,100915.96,28.34
$BARO,20497.361,100925.37,28.33
$HUM,20497.364,40.7,29.2
$IMU,20497.368,-26.000,21.545,24.719,-0.98730,-0.12792,0.34667,28.83
$MAG,20497.377,0.003,-0.150,0.039,27.0
$BARO,20497.401,100916.76,28.34
