time,lat,lon,hMSL,velN,velE,velD,hAcc,vAcc,sAcc,heading,cAcc,gpsFix,numSV
,(deg),(deg),(m),(m/s),(m/s),(m/s),(m),(m),(m/s),(deg),(deg),,
2023-04-15T11:03:47.20Z,50.8493355,3.1448614,82.852,0.45,0.41,3.47,1323.357,3316.263,42.70,0.00000,180.00000,3,4
2023-04-15T11:03:47.40Z,50.8488915,3.1444758,17.002,0.94,-0.50,-0.47,84.121,108.249,2.96,0.00000,94.20254,3,10
2023-04-15T11:03:47.60Z,50.8489114,3.1444734,21.669,1.09,-0.54,0.10,70.249,80.569,1.28,0.00000,94.20376,3,9
2023-04-15T11:03:47.80Z,50.8489132,3.1444787,21.622,0.78,-0.97,-0.44,48.819,56.861,0.74,0.00000,94.20502,3,11
2023-04-15T11:03:48.00Z,50.8489211,3.1444798,22.018,0.66,-1.55,0.11,35.048,40.257,0.32,298.86286,28.74060,3,14
2023-04-15T11:03:48.20Z,50.8489297,3.1444835,22.924,0.17,-1.12,0.51,26.602,31.954,0.47,290.13622,32.81228,3,15
2023-04-15T11:03:48.40Z,50.8489247,3.1444806,21.793,0.81,-1.18,0.18,20.521,24.500,0.29,300.37920,20.17309,3,15
2023-04-15T11:03:48.60Z,50.8489278,3.1444797,22.244,0.95,0.20,-0.23,16.426,19.359,0.47,340.50076,17.83745,3,14
2023-04-15T11:03:48.80Z,50.8489273,3.1444789,21.952,0.88,-0.67,0.27,13.146,15.631,0.21,331.79116,18.21795,3,14
2023-04-15T11:03:49.00Z,50.8489263,3.1444810,21.146,0.67,-1.15,-0.19,11.115,13.126,0.22,310.88010,13.06559,3,14
2023-04-15T11:03:49.20Z,50.8489296,3.1444845,21.401,-0.10,-0.74,0.06,9.263,11.150,0.24,294.09636,17.88664,3,15
2023-04-15T11:03:49.40Z,50.8489311,3.1444847,21.343,-0.04,-0.72,0.15,8.055,9.711,0.24,279.43044,16.60951,3,17
2023-04-15T11:03:49.60Z,50.8489317,3.1444839,21.212,-0.08,-1.03,0.17,7.173,8.696,0.24,269.24726,10.10012,3,17
2023-04-15T11:03:49.80Z,50.8489337,3.1444846,21.524,0.39,-0.56,-0.12,6.525,8.030,0.16,276.96034,19.17900,3,20
2023-04-15T11:03:50.00Z,50.8489345,3.1444851,21.538,0.16,-0.67,0.10,6.060,7.562,0.21,280.19978,18.13431,3,18
2023-04-15T11:03:50.20Z,50.8489352,3.1444834,21.493,0.40,-1.17,1.27,5.593,6.953,0.21,286.80744,10.64638,3,20
2023-04-15T11:03:50.40Z,50.8489359,3.1444807,21.526,0.42,-0.46,0.36,5.273,6.608,0.21,289.68666,30.16424,3,20
2023-04-15T11:03:50.60Z,50.8489357,3.1444793,21.512,0.04,-0.89,-0.20,5.040,6.360,0.31,278.12974,21.20680,3,20
2023-04-15T11:03:50.80Z,50.8489358,3.1444783,21.467,0.47,-0.38,-0.38,4.732,5.909,0.26,295.35924,26.06286,3,21
2023-04-15T11:03:51.00Z,50.8489349,3.1444777,21.344,-0.26,-0.44,-1.04,4.441,5.524,0.29,257.81402,18.25780,3,22
2023-04-15T11:03:51.20Z,50.8489332,3.1444782,21.205,-0.32,-0.43,-0.85,4.159,5.190,0.27,244.29656,16.72837,3,23
2023-04-15T11:03:51.40Z,50.8489321,3.1444784,21.190,0.25,0.25,-1.51,3.881,4.886,0.34,302.79436,22.18564,3,25
2023-04-15T11:03:51.60Z,50.8489321,3.1444795,21.266,0.42,0.66,-0.61,3.654,4.647,0.35,26.37167,13.52452,3,26
2023-04-15T11:03:51.80Z,50.8489315,3.1444801,21.080,0.19,-0.42,0.64,3.504,4.492,0.36,13.22253,33.25519,3,27
2023-04-15T11:03:52.00Z,50.8489310,3.1444787,20.917,0.06,-0.69,0.18,3.398,4.376,0.26,307.26814,23.21869,3,27
2023-04-15T11:03:52.20Z,50.8489306,3.1444761,20.818,0.02,-0.96,0.36,3.311,4.266,0.29,284.37916,17.43273,3,25
2023-04-15T11:03:52.40Z,50.8489301,3.1444749,20.694,-0.46,-0.72,-0.08,3.240,4.188,0.31,261.91680,18.15559,3,26
2023-04-15T11:03:52.60Z,50.8489291,3.1444742,20.750,-0.58,-0.46,-0.05,3.134,4.084,0.23,234.33920,13.85125,3,25
2023-04-15T11:03:52.80Z,50.8489278,3.1444743,20.706,-0.67,-0.26,-0.08,3.027,3.971,0.20,213.01420,10.44932,3,25
2023-04-15T11:03:53.00Z,50.8489270,3.1444752,20.762,-0.52,-0.14,0.29,2.942,3.867,0.29,205.78160,12.52767,3,25
2023-04-15T11:03:53.20Z,50.8489257,3.1444764,20.745,-0.96,-0.03,-0.42,2.854,3.762,0.13,187.06590,6.51902,3,25
2023-04-15T11:03:53.40Z,50.8489251,3.1444783,20.719,-0.41,-0.43,-0.03,2.764,3.660,0.15,197.24146,11.03939,3,25
2023-04-15T11:03:53.60Z,50.8489245,3.1444782,20.618,-0.59,-0.66,-0.03,2.675,3.562,0.16,217.68456,7.91807,3,26
2023-04-15T11:03:53.80Z,50.8489232,3.1444771,20.396,-0.33,-1.34,0.20,2.579,3.463,0.12,244.59986,5.19075,3,26
2023-04-15T11:03:54.00Z,50.8489220,3.1444743,20.306,-0.64,-0.82,-0.06,2.512,3.375,0.18,240.63436,7.71220,3,26
2023-04-15T11:03:54.20Z,50.8489207,3.1444727,20.226,-0.66,-0.51,0.11,2.459,3.299,0.25,231.32726,9.30588,3,26
2023-04-15T11:03:54.40Z,50.8489202,3.1444721,20.214,-0.11,-0.15,-0.06,2.413,3.229,0.19,231.32726,9.30777,3,26
2023-04-15T11:03:54.60Z,50.8489199,3.1444725,20.247,-0.27,0.02,0.03,2.367,3.159,0.19,224.09062,23.99843,3,26
2023-04-15T11:03:54.80Z,50.8489194,3.1444734,20.220,-0.47,0.17,-0.01,2.322,3.093,0.16,182.07598,17.27355,3,26
2023-04-15T11:03:55.00Z,50.8489181,3.1444741,20.192,-0.54,-0.11,-0.07,2.272,3.026,0.15,188.67342,10.86245,3,26
2023-04-15T11:03:55.20Z,50.8489170,3.1444741,20.111,-0.44,-0.20,0.15,2.216,2.961,0.16,196.80276,10.59878,3,27
2023-04-15T11:03:55.40Z,50.8489161,3.1444735,20.062,-0.61,-0.63,0.24,2.163,2.894,0.13,220.26678,5.26697,3,27
2023-04-15T11:03:55.60Z,50.8489148,3.1444724,20.037,-0.63,-0.64,0.16,2.119,2.833,0.17,222.18966,7.04488,3,27
2023-04-15T11:03:55.80Z,50.8489136,3.1444704,20.048,-0.71,-0.81,-0.20,2.079,2.775,0.15,226.57892,4.56815,3,27
2023-04-15T11:03:56.00Z,50.8489126,3.1444684,20.044,-0.52,-0.60,0.13,2.038,2.720,0.14,227.35014,6.77487,3,27
2023-04-15T11:03:56.20Z,50.8489115,3.1444668,19.963,-0.32,-0.44,0.35,2.001,2.667,0.15,229.90294,8.57140,3,27
2023-04-15T11:03:56.40Z,50.8489104,3.1444657,19.889,-0.66,-0.25,0.10,1.966,2.616,0.13,211.89592,6.68637,3,27
2023-04-15T11:03:56.60Z,50.8489095,3.1444648,19.892,-0.43,-0.41,0.05,1.932,2.568,0.13,218.13636,6.38381,3,27
2023-04-15T11:03:56.80Z,50.8489083,3.1444635,19.869,-0.64,-0.56,0.06,1.901,2.524,0.14,220.45536,4.17430,3,27
2023-04-15T11:03:57.00Z,50.8489071,3.1444622,19.883,-0.39,-0.34,-0.23,1.870,2.481,0.11,220.57456,7.60966,3,27
2023-04-15T11:03:57.20Z,50.8489065,3.1444608,19.934,-0.02,-0.58,-0.11,1.845,2.440,0.12,232.62236,13.09763,3,27
2023-04-15T11:03:57.40Z,50.8489064,3.1444594,20.030,-0.26,-0.58,-0.47,1.820,2.403,0.10,239.01214,13.53688,3,27
2023-04-15T11:03:57.60Z,50.8489053,3.1444584,20.040,-0.93,-0.26,0.30,1.789,2.365,0.14,200.26962,4.78264,3,27
2023-04-15T11:03:57.80Z,50.8489040,3.1444575,20.012,-0.68,-0.51,0.22,1.764,2.337,0.15,203.73286,9.41129,3,26
2023-04-15T11:03:58.00Z,50.8489027,3.1444562,19.969,-0.86,-0.54,0.01,1.736,2.304,0.11,209.94340,5.53485,3,26
2023-04-15T11:03:58.20Z,50.8489015,3.1444548,19.951,-0.61,-0.49,-0.09,1.710,2.275,0.11,212.89636,7.74169,3,26
