time,lat,lon,elevation,horz_distance_ft,horz_distance_m,x_axis_distance_ft,x_axis_distance_m,y_axis_distance_ft,y_axis_distance_m,vert_speed_mph,horz_speed_mph,vert_speed_km/u,horz_speed_km/u,heading,dive_angle,user
412.8,56.173646,9.1312802,4694.156824128206,44405.73818793688,13534.86899968315,18540.31732723629,5651.088721364213,-3471.8465585894883,-1058.218831062317,-13.37687728,110.28224702483078,-21.528000000000002,177.4820957279917,336.60936,-6.916005289348023,0
413.0,56.1737275,9.1312159,4697.975721765985,44438.266428693736,13544.78360746584,18527.162785024382,5647.07921689807,-3442.111059796065,-1049.155451029539,-13.108444960000002,110.32265826296643,-21.096,177.54713132010892,336.21968,-6.776067089631742,0
413.2,56.1738072,9.1311501,4701.827427802716,44470.32057814343,13554.553712218107,18513.703999082092,5642.97697894281,-3413.0334147922695,-1040.2925848318264,-13.667678960000002,109.23753732632153,-21.996000000000002,175.80079822344382,335.2626,-7.131723111768708,0
413.4,56.1738852,9.1310833,4705.0328083801305,44501.89902325,13564.178822286589,18500.042749497807,5638.813030069519,-3384.5769133120775,-1031.6190431816503,-13.48872408,108.0792706807276,-21.708000000000002,173.93674850358676,334.7263,-7.11395824251476,0
413.6,56.1739626,9.1310162,4707.7034120546605,44533.30639361552,13573.751788774,18486.320861659013,5634.630598656193,-3356.339609477669,-1023.0123129719868,-12.59394968,107.71909738659492,-20.268,173.35710569803595,334.46036,-6.668447029519767,0
413.8,56.1740397,9.1309461,4710.7217847580605,44564.886911404385,13583.377530596046,18471.98814238119,5630.261985820311,-3328.2129997313023,-1014.4393223216757,-12.14656248,108.3471330194261,-19.548,174.36783120747933,332.8735,-6.3965971730668905,0
414.0,56.174116,9.1308729,4713.90419945621,44596.5001800131,13593.013254867983,18457.024571681628,5625.701089471055,-3300.3797001838684,-1005.9557326193899,-12.10182376,107.74557238246196,-19.476000000000003,173.3997130793474,331.7995,-6.408518720818949,0
414.2,56.174193,9.130798,4716.7979002436,44628.50288557866,13602.767679524366,18441.714289873373,5621.034515575913,-3272.291430093348,-997.3944278964773,-10.91624768,108.67473671479766,-17.568,174.89505831783814,331.34286,-5.736052163529788,0
414.4,56.1742699,9.1307214,4720.246062973246,44660.640300860614,13612.563163702307,18426.057853545994,5616.262433783326,-3244.240315210074,-988.8444480793551,-11.05046384,108.67228711550477,-17.784000000000002,174.89111606939903,330.85672,-5.806228451585791,0
414.6,56.1743471,9.130644,4723.87139105722,44692.952802410466,13622.4120141747,18410.238314823247,5611.440638380591,-3216.079943675548,-980.2611668352038,-10.64781536,108.82034953916127,-17.136,175.12939947364634,330.54532,-5.588467661958396,0
414.8,56.1744234,9.1305651,4726.440288695006,44725.13038180012,13632.219740372668,18394.113917323295,5606.525922022585,-3188.248775202781,-971.7782266857103,-9.93199584,109.66383847643249,-15.984000000000002,176.48686351114068,329.96822,-5.175025385680306,0
415.0,56.1744968,9.130483,4729.055118091321,44756.73506133342,13641.852846694419,18377.33976074052,5601.413159096148,-3161.4777811467648,-963.6184276966378,-10.625446,108.42875523883691,-17.1,174.49918945370493,328.23154,-5.596814438161593,0
415.2,56.1745697,9.1303979,4731.400918616246,44788.51433179205,13651.53916833021,18359.954927158775,5596.1142618203885,-3134.890501473099,-955.5146248526871,-10.066212,108.50495744170367,-16.2,174.62182502768664,326.9523,-5.300267756242727,0
415.4,56.1746435,9.130312,4734.4291338393305,44820.658081374546,13661.336583202954,18342.40658231685,5590.765526312578,-3107.974865153432,-947.310738902539,-9.842518400000001,108.52935961684209,-15.840000000000002,174.66109652695988,326.93878,-5.181973741171033,0
415.6,56.174716,9.130226,4737.5787401385305,44852.41580261928,13671.016336638348,18324.838831407484,5585.410875835398,-3081.5339513383806,-939.2515483712777,-10.44649112,107.95418835642153,-16.812,173.73544798917692,326.6621,-5.527178179734082,0
415.8,56.174788,9.130139,4740.89238843248,44884.13478567937,13680.684282675064,18307.067796806106,5579.994264488865,-3055.2759789675474,-931.2481183931231,-10.245166880000001,107.20458310311271,-16.488,172.52907511489187,325.87108,-5.458978571845746,0
416.0,56.174859,9.1300488,4743.43175851121,44915.924025404194,13690.373642943188,18288.64569691685,5574.37920844258,-3029.3843716084957,-923.3563564699143,-8.79115848,107.84210920052284,-14.148000000000001,173.5550740485567,324.153,-4.660377745125433,0
416.2,56.1749291,9.1299551,4745.997375309101,44947.86671100245,13700.109773513535,18269.511357084848,5568.547061661724,-3003.822725981474,-915.5651668822393,-8.321401920000001,108.33526313180677,-13.392000000000001,174.34872847256443,322.96138,-4.392354149672795,0
416.4,56.1749979,9.1298599,4747.417978983635,44979.61577515871,13709.786888268365,18250.072440980235,5562.622080033063,-2978.736335609108,-907.9188350969926,-7.13582584,107.72640188404064,-11.484,173.36886114870802,322.38516,-3.7897514619372683,0
416.6,56.1750671,9.1297637,4749.215879246095,45011.605082249545,13719.53722906965,18230.429626664845,5556.634950229665,-2953.5042379014194,-900.228091715835,-6.3752676,108.44940958072608,-10.26,174.53242939923803,322.00492,-3.364297056934596,0
416.8,56.1751355,9.1296659,4750.93175851118,45043.566207025884,13729.278979901479,18210.461524278857,5550.548672622419,-2928.5648521520197,-892.6265669390559,-6.19631272,108.45980909403659,-9.972,174.5491657957723,321.18708,-3.269755675031955,0
417.0,56.1752039,9.1295668,4753.497375309071,45075.69315740978,13739.07127437849,18190.228693112498,5544.381705682899,-2903.625935278833,-885.0251850755885,-6.53185312,108.50544397102948,-10.512,174.62260802084018,320.52026,-3.4449564091989378,0
417.2,56.175271,9.1294663,4756.17454066339,45107.63429145003,13748.806932033956,18169.711656518746,5538.1281129291165,-2879.162230629474,-877.5686478987336,-7.40425816,108.43163490052422,-11.916,174.50382382056847,319.80914,-3.9063803165638875,0
417.4,56.1753382,9.1293649,4758.054461923225,45139.72123632009,13758.587032830352,18149.011300647166,5531.818644459418,-2854.6623237989843,-870.101076297462,-6.800285440000001,108.71669594752345,-10.944,174.9625851660863,319.70782,-3.579217463049312,0
417.6,56.1754046,9.1292632,4760.331364810355,45171.624804646126,13768.311240456127,18128.25045710476,5525.490739347646,-2830.454627741128,-862.7225705385208,-7.0463484,108.1504331497135,-11.34,174.0512734110268,319.2001,-3.727735513514931,0
417.8,56.1754703,9.1291607,4763.1200787211055,45203.441145048535,13778.008861010781,18107.327211255673,5519.113334012858,-2806.502817042172,-855.4220586372539,-7.96349216,107.93129967511274,-12.816,173.69861222243546,318.74382,-4.219806592647846,0
418.0,56.1755372,9.1290585,4765.83989499406,45235.549746989585,13787.795562882413,18086.464323743945,5512.754325899237,-2782.112670212984,-847.9879418835044,-8.29903256,108.62064619597648,-13.356,174.80800805455112,319.49492,-4.369128096451876,0
418.2,56.175604,9.1289568,4768.3366141541555,45267.564483673756,13797.553654623749,18065.703421762213,5506.426402975165,-2757.758817639202,-840.5648876195773,-7.87401472,108.24932931087302,-12.672,174.21043137539155,319.345,-4.160345828331712,0
418.4,56.1756711,9.1288541,4771.14829394417,45299.79474490306,13807.377438246442,18044.73869749275,5500.036355017801,-2733.2957671172917,-833.1085498202592,-7.538474320000001,108.58986413109831,-12.132000000000001,174.758469116664,318.81394,-3.9711892388250662,0
418.6,56.1757389,9.1287493,4774.662073471715,45332.49769863853,13817.345298545013,18023.34582177503,5493.5158064989955,-2708.57787251845,-825.5745355468243,-7.33715008,109.3226211279209,-11.808,175.9377273469224,317.99732,-3.839628380425836,0
418.8,56.1758053,9.1286425,4777.77559053207,45365.08575984165,13827.278139599723,18001.546597230248,5486.871402857767,-2684.3719271980226,-818.1965634124354,-7.33715008,109.65557241971075,-11.808,176.47356058061504,317.29054,-3.8280046890386443,0
