time,lat,lon,elevation,horz_distance_ft,horz_distance_m,vert_speed_mph,horz_speed_mph,vert_speed_km/u,horz_speed_km/u,heading,dive_angle
1598.8,56.1711328,9.1727212,13368.343175799544,233650.0537110003,71216.5363711126,-12.37025608,126.21544812523922,-19.908,203.12410066754757,234.63392,-5.597627380657913
1599.0,56.1710743,9.1725721,13372.030839841524,233687.20197784365,71227.85916284645,-12.12419312,126.26038828312251,-19.512,203.19642485043875,235.04414,-5.485027441996212
1599.2,56.1710168,9.1724227,13375.757873962246,233724.1916497314,71239.13361483783,-12.57158032,125.71763413072406,-20.232,202.32294659775988,235.61786,-5.710510519051302
1599.4,56.1709598,9.172272,13379.63254587824,233761.29693092182,71250.44330454468,-12.77290456,126.40443975892536,-20.556,203.42825325898073,236.05678,-5.770033354088942
1599.6,56.1709034,9.17212,13383.704068187933,233798.5000021405,71261.78280065213,-12.88475136,126.5161958912576,-20.736,203.60810734349457,236.56846,-5.815107719156225
1599.8,56.1708476,9.1719669,13387.552493384768,233835.7696480849,71273.14258873598,-12.482102880000001,126.97821545194168,-20.088,204.35165584844182,237.0426,-5.614203042039797
1600.0,56.1707926,9.1718133,13391.430446140661,233872.96601371138,71284.48004097893,-12.7505352,126.48317611714484,-20.52,203.55496716120686,237.42666,-5.756434686554568
1600.2,56.1707381,9.1716591,13395.462598371614,233910.16731081385,71295.81899633576,-12.81764328,126.75067021966875,-20.628000000000004,203.98545724634388,237.5784,-5.77439739535155
1600.4,56.1706838,9.171504,13399.924540628816,233947.48482847805,71307.1933757198,-13.5334628,127.18606130179259,-21.78,204.686151363496,237.92958,-6.073806439639529
1600.6,56.1706301,9.1713483,13404.019028817775,233984.79029303,71318.56408131524,-13.24266112,126.53708517444852,-21.312,203.64172539045134,238.39832,-5.974506035899881
1600.8,56.1705768,9.1711927,13407.828083935869,234022.00179631636,71329.90614751691,-13.01896752,126.4200179829755,-20.952,203.45332398365971,238.48806,-5.879698668090231
1601.0,56.1705239,9.1710366,13411.64041989386,234059.2241407518,71341.25151810083,-12.81764328,126.65232553839392,-20.628000000000004,203.82718680293854,238.9209,-5.778850841442805
1601.2,56.1704716,9.1708799,13415.521653489644,234096.43808365226,71352.5943278969,-12.840012640000001,126.41512958422669,-20.664,203.44545686743658,239.25834,-5.799655488616212
1601.4,56.1704199,9.1707231,13419.396325405638,234133.55755635572,71363.90834317691,-12.88475136,126.2083513697084,-20.736,203.11267954512343,239.55346,-5.829194239516967
1601.6,56.1703684,9.1705657,13423.451443515858,234170.74537201924,71375.24318939116,-12.90712072,126.67784565854635,-20.772,203.8682574605473,239.76844,-5.817751769054957
1601.8,56.1703171,9.1704082,13427.86745401453,234207.91391524835,71386.5721613674,-12.95185944,126.71319201361047,-20.844,203.92514191241844,240.02848,-5.836161058755837
1602.0,56.170267,9.1702499,13431.73228341084,234245.00513569737,71397.87756536025,-12.88475136,125.94064903529743,-20.736,202.6818543432046,240.62462,-5.841499313625936
1602.2,56.1702175,9.1700907,13435.70209968379,234282.14884246903,71409.19896718425,-12.9742288,126.59696752376063,-20.88,203.73809670260493,240.96364,-5.851500979207019
1602.4,56.1701685,9.1699313,13440.121391022354,234319.23970287998,71420.50426143751,-12.99659816,126.09541365809584,-20.916,202.930923892836,241.08328,-5.884670924791937
1602.6,56.1701196,9.1697714,13444.596456639136,234356.4023071655,71431.83142322373,-13.399246640000001,126.90970886261495,-21.564,204.24140516555406,241.2727,-6.027013525953459
1602.8,56.1700708,9.1696108,13448.749999946203,234393.6726222026,71443.19141524704,-13.82426448,126.55096661213977,-22.248,203.66406540182786,241.25364,-6.234197765762705
1603.0,56.1700225,9.1694502,13453.215223043298,234430.8559544795,71454.52489492504,-13.91374192,126.27742271417573,-22.392,203.22383911342686,241.69658,-6.287710351884033
1603.2,56.1699747,9.1692898,13457.70341201966,234467.91704145513,71465.82111423521,-14.00321936,126.11319052532498,-22.536,202.95953299118523,241.9161,-6.3359923154520565
1603.4,56.1699272,9.1691287,13462.240813594444,234505.05272516247,71477.1400706292,-13.82426448,126.50602683796187,-22.248,203.59174183645072,242.24786,-6.236394943802668
1603.6,56.16988,9.1689666,13466.64041989364,234542.31791758424,71488.49850127936,-13.958480640000001,126.61151031192843,-22.464000000000002,203.76150105454172,242.3556,-6.291254806897969
1603.8,56.1698336,9.1688045,13470.797244040605,234579.44883002483,71499.81600339126,-14.0926968,125.85321806626033,-22.68,202.5411478193999,242.95142,-6.38920777265598
1604.0,56.1697875,9.1686422,13475.20997369938,234616.5661968497,71511.12937679948,-14.56245336,126.40047315054287,-23.436,203.42186962074655,243.15928,-6.572006249728041
1604.2,56.1697414,9.1684795,13479.891732229546,234653.75626468917,71522.46490947696,-14.49534528,126.46059231328462,-23.328000000000003,203.518622047222,243.15154,-6.538900533775483
1604.4,56.169696,9.1683166,13483.618766350266,234690.86773503292,71533.77648563773,-14.24928232,126.17904031701644,-22.932000000000002,203.06550797218122,243.50404,-6.443062508949829
1604.6,56.1696509,9.1681537,13487.24409443424,234727.93039436542,71545.07318420228,-13.98085,125.73967087237523,-22.5,202.358411300346,243.64512,-6.344591768588705
1604.8,56.169606,9.1679912,13491.505905457845,234764.8875985581,71556.33774004021,-14.27165168,125.4996954148241,-22.968,201.9722081871662,243.66088,-6.487726286818548
1605.0,56.1695612,9.167828,13495.70866136334,234801.95659133562,71567.6363690388,-14.04795808,125.92375779966045,-22.608,202.65467053093053,243.93524,-6.365552983445207
1605.2,56.1695166,9.1676642,13499.8687663502,234839.10327489013,71578.95867818622,-14.02558872,125.82789059466421,-22.572,202.50038719962984,244.12878,-6.3603022936906575
1605.4,56.1694726,9.1675002,13503.63517054966,234876.19111237506,71590.26305105163,-14.0926968,125.70422194539276,-22.68,202.30136177495194,244.33362,-6.396718109526692
1605.6,56.1694287,9.167336,13507.388451389541,234913.29992082136,71601.57381586607,-14.07032744,125.8567009653325,-22.644000000000002,202.54675300285612,244.4027,-6.378974762613008
1605.8,56.1693852,9.1671718,13511.286089184801,234950.3458501018,71612.86541511073,-14.00321936,125.52669560012944,-22.536,202.0156607790594,244.65104,-6.36535337075269
1606.0,56.1693422,9.1670074,13515.124671861948,234987.35073556454,71624.14450419978,-13.91374192,125.65424452623282,-22.392,202.22093090479038,244.97936,-6.318642442119204
1606.2,56.1692994,9.1668426,13519.189632491854,235024.3985911171,71635.4366905722,-13.91374192,125.73151052465352,-22.392,202.34527849198756,245.09614,-6.314790814124119
1606.4,56.1692568,9.1666781,13523.015091809426,235061.3602391554,71646.70260089426,-14.07032744,125.2938765349792,-22.644000000000002,201.64097476455524,245.14068,-6.407391558570871
1606.6,56.1692145,9.1665137,13526.61417317424,235098.25740508203,71657.9488570687,-13.55583216,125.43770158284462,-21.816,201.8724387726071,245.3343,-6.167917434719335
1606.8,56.1691725,9.1663495,13530.193569499686,235135.07178582,71669.16988031763,-13.734787039999999,124.82847100050971,-22.104,200.89197706230084,245.35742,-6.278956162648606
1607.0,56.1691311,9.1661853,13533.874671861873,235171.7953931535,71680.36323583288,-13.55583216,124.88639195355604,-21.816,200.98519181273033,245.81576,-6.1949343896040245
1607.2,56.1690899,9.1660207,13537.54593170438,235208.56336985214,71691.57011513063,-13.3097692,124.90679865584264,-21.42,201.01803322090285,245.8186,-6.082349556025343
1607.4,56.169049,9.1658562,13540.944881835601,235245.26803867484,71702.75769818778,-13.197922400000001,124.66292000277319,-21.240000000000002,200.62554852261465,245.9934,-6.043328177706733
1607.6,56.1690084,9.1656918,13543.93044614005,235281.90962903493,71713.92605492953,-12.72816584,124.60627459122993,-20.484,200.53438655751785,246.13478,-5.832367110111623
1607.8,56.168968,9.1655275,13547.198162675471,235318.50308922215,71725.0797415946,-12.50447224,124.4064188538565,-20.124,200.21274988371744,246.13262,-5.739697871079378
1608.0,56.1689276,9.1653635,13550.40026241299,235355.04064086004,71736.21638733383,-11.94523824,124.34148551138044,-19.224,200.10824978496015,246.27714,-5.487451140958688
