time,lat,lon,elevation,horz_distance_ft,horz_distance_m,x_axis_distance_ft,x_axis_distance_m,y_axis_distance_ft,y_axis_distance_m,vert_speed_mph,horz_speed_mph,vert_speed_km/u,horz_speed_km/u,heading,dive_angle
0.0,56.183919,9.0405403,-369.19947506414,0.0,0.0,0.0,0.0,0.0,0.0,85.29436968,41.81737515851561,137.268,67.29855059360492,0.0,63.88261602087386
0.6,56.1844337,9.0400971,-838.43175852683,208.5788288981231,63.57482704814793,-90.36518458439969,-27.543308261490893,187.89483979344368,57.270347168669105,-19.28238832,7.289013994021613,-31.031999999999996,11.730532468733038,0.0,-69.29270274494294
0.8,56.184307,9.0402212,-696.60104986598,261.3180371673461,79.6497377286071,-65.06607091869228,-19.832138416124508,141.643843408674,43.173043470829725,23.86810712,15.2872441913497,38.412,24.60243792797779,0.0,57.36091205290943
1.0,56.1843387,9.0401555,-798.041338579485,279.0169782744015,85.0443749780376,-78.45221806899644,-23.912236067524645,153.2116036452353,46.69889679085463,-10.46886048,7.493602050392062,-16.848,12.059785072711703,0.0,-54.404942679928894
1.2,56.1843521,9.0401173,-836.400918631825,288.21079300252404,87.84664970716935,-86.23425666824915,-26.28420143260155,158.10021385923028,48.18894518446177,22.74963912,17.24840123595367,36.612,27.758614662839353,0.0,52.83119563857855
1.4,56.1843931,9.0400716,-855.3346456658701,305.84618423004014,93.22191695331625,-95.54947332618758,-29.123479469970334,173.0663440823555,52.750621675513685,-25.680025280000002,12.135207709204307,-41.328,19.529726265362758,0.0,-64.70671987549439
1.6,56.1845917,9.0399091,-1052.7559055076001,385.5921353298118,117.52848284852666,-128.68350825551897,-39.22273331647739,245.56783986836672,74.84907759167254,-14.36112912,8.633558745513048,-23.112000000000002,13.894367779787606,0.0,-58.986746901772186
1.8,56.1846561,9.0398322,-1124.032152226475,413.85682620535084,126.14356062739095,-144.35719433706254,-44.000072834140155,269.0750610642135,82.01407861243933,-26.776123920000003,11.850378269860427,-43.092000000000006,19.071337656284104,0.0,-66.12713239219805
2.0,56.1847842,9.0397301,-1247.34908135984,465.0669815482415,141.75241597590403,-165.1760010397993,-50.34564511716599,315.84000654146075,96.26803399343044,-6.867393519999999,6.977555244910187,-11.052,11.229288134160598,0.0,-44.5441175831392
2.2,56.1846013,9.039891,-1063.9566929091302,539.4889888164075,164.43624379124105,-132.37146407342516,-40.34682224976132,249.07123894244432,75.91691362950951,-25.85898016,8.856515250112318,-41.616,14.25318153957214,0.0,-71.0940357361681
2.4,56.1845135,9.0399737,-943.0741469778551,575.7186157063886,175.4790340673073,-115.51165488758124,-35.207952409866266,217.01998252049088,66.14769067242742,-1.2303148000000002,7.830074864957949,-1.9800000000000002,12.60128564869474,0.0,-8.92969363888178
2.6,56.1843128,9.0401446,-763.3267716504901,656.8823725539941,200.21774715445747,-80.66642964305356,-24.58712775533786,143.75267937034369,43.81581667158753,7.56084368,9.523201680795465,12.168,15.32610948675495,0.0,38.44744056568341
