time,lat,lon,elevation,horz_distance_ft,horz_distance_m,x_axis_distance_ft,x_axis_distance_m,y_axis_distance_ft,y_axis_distance_m,vert_speed_mph,horz_speed_mph,vert_speed_km/u,horz_speed_km/u,heading,dive_angle
0.0,56.1831763,9.0415822,-101.62401574762501,0.0,0.0,0.0,0.0,0.0,0.0,13.175553039999999,12.539018993296263,21.204,20.179597617395647,280.58798,46.418000187447866
0.2,56.1831891,9.041469,-93.776246718785,23.531642918638614,7.17244476160105,-23.055982244433835,-7.027463388105389,4.660159792751074,1.4204167043790221,12.43736416,15.180112064854995,20.016,24.43002546048612,280.62438,39.32843644738333
0.4,56.1831182,9.0420387,-126.079396324955,142.452224426481,43.41943800519141,92.97912392974831,28.34003697388107,-21.1594015955925,-6.449385606683791,8.09770832,3.2349838039866556,13.032,5.206202454764893,280.62438,68.22360040142155
0.6,56.1830805,9.0422116,-122.73622047194999,180.27398872581077,54.947511763627126,128.1986756012775,39.074956323427614,-34.90440485626459,-10.638862600550056,5.9278804,2.7605095390603887,9.54,4.442610043656769,280.62438,65.02943345299629
0.8,56.1830779,9.0422788,-131.27296587874,193.9976823125089,59.13049356885272,141.88456672756,43.24641593871638,-35.84543611109257,-10.925688927061856,5.39101576,3.3421051586872443,8.676,5.378597586732066,280.62438,58.20357928685453
1.0,56.1830658,9.0423444,-128.96653543255502,208.07449049266512,63.421104702164335,155.24674899713136,47.31920909450855,-40.25566894561052,-12.269927894696593,5.189691519999999,3.3216051684215673,8.352,5.345606046090564,280.62438,57.37917018228462
1.2,56.1830681,9.0423924,-131.35826771601,217.88965523614655,66.41276691597747,165.02145721623674,50.29854015971068,-39.40979664772749,-12.012106018140912,5.07784472,4.649437978341203,8.172,7.482546090736763,265.45796,47.52177787385222
1.4,56.1830608,9.042439,-129.0682414693,227.7509853638276,69.41850033889466,174.51321084750816,53.19162666652119,-42.06962376460433,-12.822821323759854,4.5633494400000005,2.5325830300239818,7.344,4.07579783600708,265.45796,60.97045396958452
1.6,56.1830525,9.0424537,-123.349737532315,232.0127269309688,70.7174791685593,177.50873951800168,54.10466380533762,-45.098604656755924,-13.746054699644446,3.89226864,1.4663452466867588,6.264,2.359854232786424,265.45796,69.35696275274006
1.8,56.1830444,9.0424593,-120.862860891905,235.18403397163846,71.6840935545554,178.65100383176468,54.452825968153775,-48.05569413304329,-14.647375571541488,3.98174608,2.5596061371504195,6.408,4.1192873170003566,265.45796,57.26566740957765
2.0,56.1830412,9.0424565,-118.03149606252,236.4847732614244,72.08055889008216,178.08150147018023,54.279241648328025,-49.22455544397235,-15.00364449992776,4.0041154400000005,1.7120965121658993,6.444,2.7553526090139537,265.45796,66.84921323391623
2.2,56.1830388,9.0424532,-115.56102362158501,237.58961287077372,72.41731400301184,177.40999385295436,54.07456612662645,-50.101351857185364,-15.270892046391964,3.51198952,2.1312025473499085,5.652,3.429838480162003,265.45796,58.74910583710269
2.4,56.1830425,9.0424654,-118.015091863045,240.4188842716164,73.27967592598868,179.8936998595018,54.831599717377685,-48.748732194304466,-14.858613573014736,3.10934104,1.4379166590791232,5.004,2.3141028499183003,265.45796,65.18178991593588
2.6,56.1830445,9.0424719,-119.30118110188499,241.93131756841686,73.74066559485345,181.21697919955477,55.23493526026141,-48.01759811118245,-14.635763904079795,2.14745856,1.4790867122963316,3.456,2.3803596366935817,265.45796,55.442426672300705
2.8,56.1830468,9.0424721,-118.75328083942,242.77250791787912,73.99706041336955,181.2571920764167,55.24719214515062,-47.17770627886057,-14.379764873534441,0.62634208,0.5100998909439131,1.0080000000000002,0.8209263060713793,265.45796,50.8402491815891
3.0,56.1830494,9.0424749,-118.43175852971001,243.8804442468719,74.33475940644655,181.82682903390378,55.42081748979399,-46.22794050723314,-14.0902762664482,-0.24606296,0.13043466207847668,-0.396,0.20991426821443082,265.45796,-62.07253959704166
3.2,56.1830511,9.0424768,-120.10498687616,244.61222612572,74.55780652311947,182.2133828124497,55.53863908146741,-45.60693111270666,-13.900992603041232,0.58160336,1.0967832025565847,0.936,1.7651016967869018,265.45796,27.936160344060582
3.4,56.1830558,9.0424869,-122.84120734858999,247.2921469454914,75.37464638898578,184.26919639972039,56.165251062833704,-43.88941461965442,-13.377493576146662,0.08947744,0.7765100524175899,0.14400000000000002,1.2496719569551045,265.45796,6.573215677908822
3.6,56.1830605,9.0424914,-124.82283464517,249.23852366715886,75.96790201375002,185.18456646916457,56.44425585999852,-42.17260055616498,-12.854208650067449,-0.08947744,1.6243605913980494,-0.14400000000000002,2.6141553129070205,265.45796,-3.1529352422911128
3.8,56.1830628,9.0424918,-125.757874015245,250.08266940257352,76.22519763390441,185.26550919702277,56.46892720350297,-41.332683619111776,-12.598201966844499,0.13421616,0.8351893461560572,0.216,1.3441071385868018,265.45796,9.12946097343588
4.0,56.1830652,9.0424857,-124.68503936958001,251.60356632457464,76.68876701573036,184.0227010785602,56.09011928894324,-40.45706630498171,-12.331313809379935,-0.29080168,1.774103209577274,-0.468,2.855142728481363,265.45796,-9.308842183008025
4.2,56.1830678,9.0424824,-123.211942256725,252.7672321453405,77.0434523578998,183.35006952751428,55.885101192223374,-39.50806572288275,-12.042058432474732,-0.96188248,1.479255857097879,-1.548,2.3806318489006237,265.45796,-33.033836843241815
4.4,56.1830699,9.0424845,-124.721128608425,253.6456120243324,77.31118254501652,183.77726316964254,56.01530981430551,-38.74096741527319,-11.808246867731214,0.17895488,1.338615099065141,0.28800000000000003,2.154292459254314,265.45796,7.614528691564512
4.6,56.183072,9.0424823,-125.134514435195,254.5340933612002,77.58199165649383,183.32875971123576,55.878605960228015,-37.97440855205059,-11.57459972705692,0.53686464,1.8131604763338165,0.864,2.9179993145989602,265.45796,16.493667800869034
4.8,56.183075,9.0424821,-125.72506561629501,255.63076742928553,77.91625791244623,183.28735478641465,55.86598573910305,-36.87895528227091,-11.240705570206046,1.2303148000000002,2.0590749827720556,1.9800000000000002,3.313760401718869,265.45796,30.858676031747006
5.0,56.1830779,9.0424792,-125.01312335908,256.84376816229087,78.28598053586626,182.69611615710892,55.68577620491851,-35.82035664841533,-10.91804470680654,0.8500356800000001,2.755883363576207,1.368,4.435164934926321,265.45796,17.14206442403162
5.2,56.1830802,9.0424734,-123.85826771604,258.2936738969258,78.72791180378297,181.51442630589008,55.32559713826049,-34.98121742531657,-10.662275071255863,-0.02236936,3.3474160868746767,-0.036000000000000004,5.387144698260851,272.9804,-0.38287766062734047
5.4,56.1830821,9.0424706,-121.72572178429,259.19209503611177,79.00175056700687,180.94377781404182,55.15166347794002,-34.28776563704014,-10.450910965912044,-1.96850368,2.3445180977982356,-3.168,3.773136626203722,272.9804,-40.01748296524861
5.6,56.1830831,9.0424627,-120.75459317537,260.8425135975241,79.50479814452534,179.3347146245651,54.66122101777,-33.923596888780594,-10.339912331663072,-1.7895488000000002,3.226154979172526,-2.8800000000000003,5.1919938366681455,273.01414,-29.017140624601524
5.8,56.1830834,9.0424619,-122.17847768979999,261.03891783732166,79.56466215681564,179.1717268382199,54.611542340542655,-33.81414936110377,-10.306552725844085,-0.38027912,2.144777223112147,-0.6120000000000001,3.4516848060041636,273.01414,-10.054321886320041
6.0,56.1830837,9.0424667,-121.88976377904001,262.02295274187736,79.86459599572422,180.1491813820321,54.909470485465135,-33.70399961620569,-10.272979082539678,-1.58822456,2.445637126226037,-2.556,3.9358719491365566,273.01414,-33.00015225996463
6.2,56.183084,9.0424649,-122.503280839405,262.4056955289365,79.98125599721985,179.78254317864776,54.79771916108439,-33.59467750042677,-10.239657701924443,-1.09609864,2.8096486074219764,-1.764,4.521691718814984,273.01414,-21.31172506673342
6.4,56.1830843,9.0424597,-125.99081364778999,263.47075489563304,80.30588609218894,178.72349357884377,54.4749208430876,-33.48578171059489,-10.206466265954077,0.80529696,4.6888761210777785,1.296,7.5460156374075975,268.18724,9.745260447138302
6.6,56.1830845,9.0424619,-128.907480314445,263.9248808080468,80.44430367029265,179.17147951829247,54.61146695743082,-33.41247396171093,-10.184122063219547,1.72244072,4.205677645182253,2.7720000000000002,6.768382967888268,269.20118,22.27161646212466
6.8,56.1830877,9.0424449,-131.263123359055,267.5802801075565,81.55846937678322,175.70870333933271,53.556012778077275,-32.246094934642315,-9.828609735704958,2.4382602400000004,6.16112440388735,3.9240000000000004,9.915369887200377,274.05348,21.591144321314367
7.0,56.1830912,9.04244,-133.625328083455,269.2024132486816,82.05289555819814,174.71002988587134,53.251617109403014,-30.968650970607996,-9.439244816079736,1.81191816,6.033966413672959,2.9160000000000004,9.710728911878862,274.16446,16.714298584504586
7.2,56.1830971,9.0424181,-133.84514435642,274.15744591773574,83.56318951572587,170.24876149068587,51.8918225025991,-28.816954135894775,-8.783407620154321,1.05135992,6.1318165634723085,1.692,9.868203483917426,272.8023,9.72931562250815
7.4,56.1831043,9.042392,-134.399606298675,280.08979013116834,85.37136803198013,164.93187134037726,50.27123438473791,-26.19107438251376,-7.9830394722521305,0.49212592,5.643466346661192,0.792,9.082279889983573,270.04484,4.9837437561064934
