time,lat,lon,hMSL,velN,velE,velD,hAcc,vAcc,sAcc,heading,cAcc,gpsFix,numSV
,(deg),(deg),(m),(m/s),(m/s),(m/s),(m),(m),(m/s),(deg),(deg),,
2022-08-30T11:06:28.40Z,56.1838618,9.0406686,-49.700,7.16,4.60,-5.93,184.013,269.416,12.47,32.72642,21.10529,3,4
2022-08-30T11:06:28.60Z,56.1839119,9.0406745,-42.331,5.58,4.77,-3.39,110.002,148.381,6.12,40.51490,23.18721,3,4
2022-08-30T11:06:28.80Z,56.1841596,9.0407552,-2.033,5.16,4.27,-1.51,101.069,120.020,3.00,40.09182,24.26842,3,6
2022-08-30T11:06:29.00Z,56.1843017,9.0407479,15.846,4.59,4.27,-1.98,83.184,95.266,2.53,41.51400,24.27486,3,6
2022-08-30T11:06:29.20Z,56.1844223,9.0407314,29.427,4.10,4.51,-1.21,72.340,79.376,1.96,44.71561,23.42093,3,7
2022-08-30T11:06:29.40Z,56.1845035,9.0407383,38.147,4.16,5.01,-1.01,65.457,70.094,1.71,47.96856,19.79952,3,7
2022-08-30T11:06:29.60Z,56.1845776,9.0407307,44.273,4.02,4.93,-0.88,58.160,62.259,1.44,49.50771,18.00392,3,7
2022-08-30T11:06:29.80Z,56.1846135,9.0407136,44.749,4.23,5.13,-0.83,54.597,57.750,1.58,50.04248,16.80208,3,7
2022-08-30T11:06:30.00Z,56.1846770,9.0406887,47.618,3.87,5.08,-1.50,48.799,52.834,1.62,51.45541,15.78597,3,8
2022-08-30T11:06:30.20Z,56.1846935,9.0406832,47.320,3.78,5.49,-1.04,42.519,47.962,1.15,53.68790,14.07790,3,8
2022-08-30T11:06:30.40Z,56.1847285,9.0406764,49.290,3.69,5.85,-1.37,39.476,44.783,1.34,55.87095,12.99694,3,9
2022-08-30T11:06:30.60Z,56.1847593,9.0406848,51.945,3.68,5.90,-1.20,37.027,42.136,1.30,57.00180,12.58188,3,9
2022-08-30T11:06:30.80Z,56.1847831,9.0407027,54.916,3.35,6.07,-1.39,34.376,39.552,1.18,59.18010,11.96228,3,9
2022-08-30T11:06:31.00Z,56.1847984,9.0407255,56.602,3.19,6.96,-1.41,32.274,37.454,1.17,62.66575,10.57930,3,9
2022-08-30T11:06:31.20Z,56.1848124,9.0407469,57.798,2.96,6.96,-1.54,30.379,35.584,1.10,64.93536,10.06926,3,9
2022-08-30T11:06:31.40Z,56.1848194,9.0407595,57.342,2.45,6.70,-1.39,28.851,34.007,1.15,67.30717,10.57360,3,10
2022-08-30T11:06:31.60Z,56.1848253,9.0407680,56.489,2.63,7.08,-1.46,27.776,32.768,1.15,68.45051,10.71529,3,10
2022-08-30T11:06:31.80Z,56.1848355,9.0407770,56.409,2.28,7.59,-1.15,26.395,31.232,1.07,73.24020,8.84831,3,12
