time,lat,lon,elevation,horz_distance,vert_speed_mph,horz_speed_mph,vert_speed_km,horz_speed_km,dive_angle
544.6,56.1833971,9.0352833,4915.849737513146,64966.05934434854,2.4382602400000004,77.1414279788568,3.9240000000000004,124.14711047785207,1.810382952386168
544.8,56.1834162,9.0351765,4914.504593156195,64988.90908529499,6.28579016,75.43346544490744,10.116,121.39841086274565,4.7633912877355105
545.0,56.1834393,9.0350719,4910.042650898996,65011.82922075745,11.05046384,72.8110572638831,17.784000000000002,117.17805344005335,8.62986761010065
545.2,56.1834546,9.0349681,4907.089894993495,65033.70253515398,16.03883112,71.63184624578892,25.812,115.28029701557851,12.620731876645682
545.4,56.1834708,9.03487,4896.095800505351,65054.54620470575,20.691658,69.37573459445605,33.300000000000004,111.64943679213074,16.607473119927626
545.6,56.1834872,9.0347763,4884.347112841355,65074.55372056533,23.19702632,67.19208402148195,37.332,108.13519138559843,19.04644084386908
545.8,56.1835011,9.0346859,4873.159448799405,65093.65805711851,24.87472832,64.53312625244372,40.032,103.85601309505385,21.07949305410025
546.0,56.1835156,9.034597,4860.134514416255,65112.52830889597,28.2972404,63.305225565028486,45.54,101.87989823316471,24.084495886145067
546.2,56.1835296,9.0345105,4846.90288711972,65130.87802990209,31.18288784,62.66388830407983,50.184,100.84776582552536,26.455917562552646
546.4,56.1835425,9.0344263,4833.001968484606,65148.6675703512,35.05278712,60.59163896140265,56.412,97.5128033439712,30.049752683483625
546.6,56.1835517,9.0343443,4820.022965859985,65165.708091946275,37.89369584000001,59.42114281549323,60.98400000000001,95.6290721485888,32.5262287474718
546.8,56.1835604,9.0342646,4805.790682395475,65182.25343895032,41.293838560000005,57.227263109302555,66.456,92.09836454573988,35.81332457961721
547.0,56.1835688,9.0341867,4793.43175851101,65198.41788991823,43.9557924,55.10733945807448,70.74,88.68667769174805,38.57724683659386
547.2,56.1835782,9.0341123,4778.946850374585,65213.959452074996,47.7585836,54.20077463783655,76.86000000000001,87.22770284720332,41.3846345387638
547.4,56.1835899,9.0340395,4762.654199456016,65229.394505261094,51.09161824,52.281597175072086,82.224,84.13908570931824,44.34046978209835
547.6,56.183603,9.0339699,4744.307742763175,65244.359824458435,53.64172528,50.438636105031264,86.328,81.17312698177889,46.76273009245618
547.8,56.1836134,9.0339004,4726.7585301648205,65259.01983892651,56.66158888,49.59905081301226,91.188,79.82194525316957,48.80253070819326
548.0,56.1836225,9.033833,4708.894356936546,65273.147845895226,59.189326560000005,47.37653538757564,95.256,76.2451529213497,51.32539481388507
548.2,56.1836346,9.0337696,4687.713254574425,65286.79966240135,61.53810936000001,44.013129850549575,99.036,70.83227569406478,54.426988450771816
548.4,56.1836476,9.03371,4664.19291336717,65299.837565281734,63.819784080000005,42.242165804650355,102.70800000000001,67.98218496047329,56.499517930324686
548.6,56.1836597,9.0336536,4641.41076113629,65312.14875491125,65.81065712,40.00267685921064,105.912,64.37807639251113,58.706884353781284
548.8,56.1836684,9.0335992,4619.760498669185,65323.67829322825,68.69630456,38.183979889239,110.55600000000001,61.4511669539318,60.933054574247876
549.0,56.183677,9.0335465,4597.375328065601,65334.86500140616,71.6937988,37.056875446908876,115.38,59.63726794547182,62.666597608829626
549.2,56.1836858,9.0334957,4573.474409430525,65345.70219425516,74.0425816,36.1698786242231,119.16000000000001,58.209784744491195,63.96444245390628
549.4,56.1836944,9.0334469,4548.809055099915,65356.12871941541,76.34662568,34.36493612547532,122.86800000000001,55.30501098453918,65.7666664639454
549.6,56.1837013,9.0334003,4524.46194223912,65365.951391083014,78.31512936,32.526141735661355,126.036,52.34575787969833,67.44572226388485
549.8,56.1837082,9.0333559,4499.376640401951,65375.34157071871,80.46258792,31.251725214228536,129.492,50.294783029654276,68.77379532531693
550.0,56.1837144,9.033313,4473.651574785255,65384.37022514182,82.4310916,29.79230104981598,132.66,47.946067200553586,70.12909638158595
550.2,56.18372,9.033273,4447.57874013969,65392.77221698981,84.6680276,28.047502487823035,136.26000000000002,45.13808573699155,71.67180487959294
550.4,56.1837248,9.0332346,4421.279527541371,65400.78949411242,86.23388279999999,26.78412112680917,138.78,43.10487025847544,72.74528014759854
550.6,56.1837283,9.0331983,4394.356955363,65408.29455072346,88.18001712,25.60541406236474,141.912,41.207924868888995,73.8079389982443
550.8,56.1837313,9.0331636,4366.847112843426,65415.44837181223,90.46169184,24.092174578269137,145.584,38.77260166664084,75.0868817747783
551.0,56.1837336,9.0331313,4338.6482939459,65422.082224713486,92.3854568,22.57068424,148.68,36.324,76.27100461518502
551.2,56.1837352,9.033101,4310.1476377780355,65428.28280721872,93.54866352,21.3332048835768,150.552,34.33246976260228,77.15372454575163
551.4,56.1837366,9.0330724,4281.676509169225,65434.13184360647,95.27110424000001,20.10043525632074,153.324,32.3485191005709,78.08637397552766
551.6,56.1837375,9.0330457,4252.73622045543,65439.581320505116,96.88169816000001,18.62814414004576,155.91600000000003,29.979095916988562,79.11615631054049
551.8,56.1837377,9.0330209,4223.513779510665,65444.63431467606,98.15675168000001,17.604132051401727,157.96800000000002,28.331107991040522,79.83226295605458
552.0,56.1837374,9.0329974,4194.143700770625,65449.42318777402,100.08051664,17.050236695376793,161.06400000000002,27.439699706811663,80.33161952278859
552.2,56.1837371,9.0329748,4164.35695536392,65454.02875521815,101.71347992,16.29978993164097,163.692,26.23197255259314,80.89564475669921
552.4,56.1837368,9.0329531,4134.045275574015,65458.45102114603,102.92142536,15.599850222432046,165.636,25.105528634147497,81.38125268870586
